student_id,first_name,last_name,email,degree,semester
F2021-558,Kiran,Aslam,f2021-558@bnu.edu.pk,Computer Science,8
F2021-586,Shahid,Javed,f2021-586@bnu.edu.pk,Software Engineering,8
F2021-591,Umair,Khan,f2021-591@bnu.edu.pk,Computer Science,8
F2021-594,Hina,Tariq,f2021-594@bnu.edu.pk,Management Business Computing,8
F2021-602,Waqas,Tariq,f2021-602@bnu.edu.pk,Computer Science,8
F2021-619,Tariq,Mehmood,f2021-619@bnu.edu.pk,Software Engineering,8
F2021-621,Umair,Qureshi,f2021-621@bnu.edu.pk,Management Business Computing,8
F2021-641,Rabia,Rana,f2021-641@bnu.edu.pk,Software Engineering,8
F2021-644,Umair,Chaudhry,f2021-644@bnu.edu.pk,Computer Science,8
F2021-654,Bilal,Javed,f2021-654@bnu.edu.pk,Software Engineering,8
F2021-678,Usman,Tariq,f2021-678@bnu.edu.pk,Computer Science,8
F2021-683,Laiba,Khan,f2021-683@bnu.edu.pk,Computer Science,8
F2021-706,Kiran,Rafiq,f2021-706@bnu.edu.pk,Management Business Computing,8
F2021-710,Imran,Zahid,f2021-710@bnu.edu.pk,Software Engineering,8
F2021-711,Imran,Qureshi,f2021-711@bnu.edu.pk,Software Engineering,8
F2021-720,Hina,Malik,f2021-720@bnu.edu.pk,Software Engineering,8
F2021-723,Hina,Saeed,f2021-723@bnu.edu.pk,Software Engineering,8
F2021-764,Yasir,Ali,f2021-764@bnu.edu.pk,Software Engineering,8
F2021-795,Waqas,Malik,f2021-795@bnu.edu.pk,Computer Science,8
F2021-816,Ali,Mehmood,f2021-816@bnu.edu.pk,Computer Science,8
F2021-819,Saad,Zahid,f2021-819@bnu.edu.pk,Computer Science,8
F2021-834,Hina,Nawaz,f2021-834@bnu.edu.pk,Management Business Computing,8
F2021-845,Yasir,Saeed,f2021-845@bnu.edu.pk,Computer Science,8
F2021-850,Hina,Ahmed,f2021-850@bnu.edu.pk,Management Business Computing,8
F2021-873,Saad,Anwar,f2021-873@bnu.edu.pk,Software Engineering,8
F2021-874,Emaan,Nawaz,f2021-874@bnu.edu.pk,Software Engineering,8
F2021-879,Imran,Aslam,f2021-879@bnu.edu.pk,Computer Science,8
F2021-885,Zain,Chaudhry,f2021-885@bnu.edu.pk,Computer Science,8
F2021-891,Zara,Mehmood,f2021-891@bnu.edu.pk,Computer Science,8
F2021-892,Amina,Zahid,f2021-892@bnu.edu.pk,Software Engineering,8
F2021-894,Saad,Rana,f2021-894@bnu.edu.pk,Management Business Computing,8
F2021-896,Imran,Aslam,f2021-896@bnu.edu.pk,Software Engineering,8
F2021-923,Zain,Rafiq,f2021-923@bnu.edu.pk,Software Engineering,8
F2021-926,Shahid,Malik,f2021-926@bnu.edu.pk,Computer Science,8
F2021-931,Junaid,Rafiq,f2021-931@bnu.edu.pk,Software Engineering,8
F2021-933,Asma,Saeed,f2021-933@bnu.edu.pk,Software Engineering,8
F2021-936,Tariq,Rana,f2021-936@bnu.edu.pk,Software Engineering,8
F2021-939,Saad,Rafiq,f2021-939@bnu.edu.pk,Software Engineering,8
F2021-944,Rabia,Tariq,f2021-944@bnu.edu.pk,Software Engineering,8
F2021-947,Amina,Javed,f2021-947@bnu.edu.pk,Software Engineering,8
F2021-950,Noman,Chaudhry,f2021-950@bnu.edu.pk,Software Engineering,8
F2021-966,Hina,Nawaz,f2021-966@bnu.edu.pk,Software Engineering,8
F2021-971,Tariq,Aslam,f2021-971@bnu.edu.pk,Computer Science,8
F2021-989,Bilal,Saeed,f2021-989@bnu.edu.pk,Management Business Computing,8
F2021-993,Waqas,Rana,f2021-993@bnu.edu.pk,Computer Science,8
F2022-008,Rabia,Ali,f2022-008@bnu.edu.pk,Computer Science,6
F2022-020,Zain,Anwar,f2022-020@bnu.edu.pk,Software Engineering,6
F2022-026,Fatima,Rana,f2022-026@bnu.edu.pk,Management Business Computing,6
F2022-027,Rabia,Sheikh,f2022-027@bnu.edu.pk,Management Business Computing,6
F2022-030,Zara,Khan,f2022-030@bnu.edu.pk,Computer Science,6
F2022-039,Waqas,Saeed,f2022-039@bnu.edu.pk,Management Business Computing,6
F2022-045,Tariq,Rafiq,f2022-045@bnu.edu.pk,Software Engineering,6
F2022-047,Asma,Chaudhry,f2022-047@bnu.edu.pk,Computer Science,6
F2022-052,Rabia,Ahmed,f2022-052@bnu.edu.pk,Software Engineering,6
F2022-054,Sana,Zahid,f2022-054@bnu.edu.pk,Management Business Computing,6
F2022-059,Laiba,Ali,f2022-059@bnu.edu.pk,Software Engineering,6
F2022-068,Saad,Mehmood,f2022-068@bnu.edu.pk,Software Engineering,6
F2022-069,Sana,Rana,f2022-069@bnu.edu.pk,Computer Science,6
F2022-072,Osama,Nawaz,f2022-072@bnu.edu.pk,Computer Science,6
F2022-074,Waqas,Mirza,f2022-074@bnu.edu.pk,Software Engineering,6
F2022-076,Zara,Rafiq,f2022-076@bnu.edu.pk,Computer Science,6
F2022-079,Waqas,Malik,f2022-079@bnu.edu.pk,Management Business Computing,6
F2022-080,Bilal,Chaudhry,f2022-080@bnu.edu.pk,Software Engineering,6
F2022-091,Laiba,Mirza,f2022-091@bnu.edu.pk,Software Engineering,6
F2022-094,Tariq,Ahmed,f2022-094@bnu.edu.pk,Management Business Computing,6
F2022-096,Waqas,Anwar,f2022-096@bnu.edu.pk,Software Engineering,6
F2022-111,Waqas,Mirza,f2022-111@bnu.edu.pk,Management Business Computing,6
F2022-117,Umair,Saeed,f2022-117@bnu.edu.pk,Software Engineering,6
F2022-118,Shahid,Qureshi,f2022-118@bnu.edu.pk,Software Engineering,6
F2022-119,Hina,Rana,f2022-119@bnu.edu.pk,Computer Science,6
F2022-126,Noman,Mehmood,f2022-126@bnu.edu.pk,Software Engineering,6
F2022-133,Kiran,Farooq,f2022-133@bnu.edu.pk,Software Engineering,6
F2022-135,Asma,Ahmed,f2022-135@bnu.edu.pk,Computer Science,6
F2022-139,Fatima,Sheikh,f2022-139@bnu.edu.pk,Software Engineering,6
F2022-142,Usman,Zahid,f2022-142@bnu.edu.pk,Software Engineering,6
F2022-152,Imran,Zahid,f2022-152@bnu.edu.pk,Computer Science,6
F2022-155,Maha,Saeed,f2022-155@bnu.edu.pk,Computer Science,6
F2022-162,Laiba,Mehmood,f2022-162@bnu.edu.pk,Software Engineering,6
F2022-176,Ahsan,Mehmood,f2022-176@bnu.edu.pk,Management Business Computing,6
F2022-180,Imran,Qureshi,f2022-180@bnu.edu.pk,Computer Science,6
F2022-185,Iqra,Malik,f2022-185@bnu.edu.pk,Computer Science,6
F2022-186,Iqra,Ahmed,f2022-186@bnu.edu.pk,Computer Science,6
F2022-192,Osama,Qureshi,f2022-192@bnu.edu.pk,Management Business Computing,6
F2022-197,Imran,Rana,f2022-197@bnu.edu.pk,Computer Science,6
F2022-199,Nadia,Saeed,f2022-199@bnu.edu.pk,Software Engineering,6
F2022-203,Bilal,Khan,f2022-203@bnu.edu.pk,Computer Science,6
F2022-222,Emaan,Tariq,f2022-222@bnu.edu.pk,Computer Science,6
F2022-223,Ali,Mirza,f2022-223@bnu.edu.pk,Software Engineering,6
F2022-226,Sana,Malik,f2022-226@bnu.edu.pk,Software Engineering,6
F2022-240,Usman,Rafiq,f2022-240@bnu.edu.pk,Management Business Computing,6
F2022-242,Iqra,Chaudhry,f2022-242@bnu.edu.pk,Computer Science,6
F2022-244,Umair,Malik,f2022-244@bnu.edu.pk,Software Engineering,6
F2022-245,Asma,Ali,f2022-245@bnu.edu.pk,Software Engineering,6
F2022-250,Yasir,Aslam,f2022-250@bnu.edu.pk,Software Engineering,6
F2022-254,Dua,Ali,f2022-254@bnu.edu.pk,Management Business Computing,6
F2022-257,Bilal,Sheikh,f2022-257@bnu.edu.pk,Computer Science,6
F2022-264,Waqas,Farooq,f2022-264@bnu.edu.pk,Software Engineering,6
F2022-272,Ahsan,Farooq,f2022-272@bnu.edu.pk,Computer Science,6
F2022-279,Ali,Anwar,f2022-279@bnu.edu.pk,Software Engineering,6
F2022-280,Laiba,Qureshi,f2022-280@bnu.edu.pk,Computer Science,6
F2022-291,Kiran,Aslam,f2022-291@bnu.edu.pk,Management Business Computing,6
F2022-292,Yasir,Aslam,f2022-292@bnu.edu.pk,Computer Science,6
F2022-294,Bilal,Ali,f2022-294@bnu.edu.pk,Software Engineering,6
F2022-297,Umair,Khan,f2022-297@bnu.edu.pk,Software Engineering,6
F2022-299,Shahid,Chaudhry,f2022-299@bnu.edu.pk,Software Engineering,6
F2022-317,Zain,Ali,f2022-317@bnu.edu.pk,Software Engineering,6
F2022-318,Iqra,Saeed,f2022-318@bnu.edu.pk,Software Engineering,6
F2022-321,Imran,Qureshi,f2022-321@bnu.edu.pk,Management Business Computing,6
F2022-330,Saad,Hussain,f2022-330@bnu.edu.pk,Management Business Computing,6
F2022-336,Zain,Sheikh,f2022-336@bnu.edu.pk,Management Business Computing,6
F2022-359,Fatima,Aslam,f2022-359@bnu.edu.pk,Management Business Computing,6
F2022-362,Ahsan,Zahid,f2022-362@bnu.edu.pk,Computer Science,6
F2022-366,Hassan,Ahmed,f2022-366@bnu.edu.pk,Computer Science,6
F2022-371,Kiran,Saeed,f2022-371@bnu.edu.pk,Computer Science,6
F2022-374,Ali,Tariq,f2022-374@bnu.edu.pk,Management Business Computing,6
F2022-377,Zain,Hussain,f2022-377@bnu.edu.pk,Management Business Computing,6
F2022-382,Dua,Mirza,f2022-382@bnu.edu.pk,Software Engineering,6
F2022-383,Junaid,Saeed,f2022-383@bnu.edu.pk,Computer Science,6
F2022-384,Junaid,Anwar,f2022-384@bnu.edu.pk,Computer Science,6
F2022-386,Nadia,Hussain,f2022-386@bnu.edu.pk,Software Engineering,6
F2022-397,Junaid,Rana,f2022-397@bnu.edu.pk,Software Engineering,6
F2022-408,Iqra,Ali,f2022-408@bnu.edu.pk,Software Engineering,6
F2022-425,Zara,Ahmed,f2022-425@bnu.edu.pk,Computer Science,6
F2022-430,Shahid,Sheikh,f2022-430@bnu.edu.pk,Management Business Computing,6
F2022-434,Rabia,Saeed,f2022-434@bnu.edu.pk,Computer Science,6
F2022-447,Yasir,Ali,f2022-447@bnu.edu.pk,Computer Science,6
F2022-451,Imran,Chaudhry,f2022-451@bnu.edu.pk,Computer Science,6
F2022-461,Noman,Ali,f2022-461@bnu.edu.pk,Management Business Computing,6
F2022-469,Saad,Zahid,f2022-469@bnu.edu.pk,Computer Science,6
F2022-470,Nadia,Malik,f2022-470@bnu.edu.pk,Management Business Computing,6
F2022-473,Osama,Rafiq,f2022-473@bnu.edu.pk,Software Engineering,6
F2022-474,Nadia,Nawaz,f2022-474@bnu.edu.pk,Management Business Computing,6
F2022-480,Usman,Aslam,f2022-480@bnu.edu.pk,Computer Science,6
F2022-488,Tariq,Anwar,f2022-488@bnu.edu.pk,Software Engineering,6
F2022-491,Ahsan,Ali,f2022-491@bnu.edu.pk,Software Engineering,6
F2022-498,Sana,Qureshi,f2022-498@bnu.edu.pk,Management Business Computing,6
F2022-499,Sana,Tariq,f2022-499@bnu.edu.pk,Management Business Computing,6
F2022-503,Kiran,Aslam,f2022-503@bnu.edu.pk,Management Business Computing,6
F2022-510,Asma,Ahmed,f2022-510@bnu.edu.pk,Management Business Computing,6
F2022-513,Noman,Javed,f2022-513@bnu.edu.pk,Management Business Computing,6
F2022-515,Umair,Nawaz,f2022-515@bnu.edu.pk,Management Business Computing,6
F2022-516,Asma,Rafiq,f2022-516@bnu.edu.pk,Computer Science,6
F2022-517,Shahid,Anwar,f2022-517@bnu.edu.pk,Management Business Computing,6
F2022-520,Yasir,Aslam,f2022-520@bnu.edu.pk,Management Business Computing,6
F2022-526,Umair,Mirza,f2022-526@bnu.edu.pk,Management Business Computing,6
F2022-536,Laiba,Rafiq,f2022-536@bnu.edu.pk,Management Business Computing,6
F2022-537,Osama,Nawaz,f2022-537@bnu.edu.pk,Computer Science,6
F2022-539,Bilal,Qureshi,f2022-539@bnu.edu.pk,Computer Science,6
F2022-544,Junaid,Zahid,f2022-544@bnu.edu.pk,Software Engineering,6
F2022-549,Asma,Rana,f2022-549@bnu.edu.pk,Computer Science,6
F2022-550,Ahsan,Khan,f2022-550@bnu.edu.pk,Computer Science,6
F2022-558,Asma,Mirza,f2022-558@bnu.edu.pk,Management Business Computing,6
F2022-562,Emaan,Chaudhry,f2022-562@bnu.edu.pk,Management Business Computing,6
F2022-568,Amina,Saeed,f2022-568@bnu.edu.pk,Computer Science,6
F2022-573,Amina,Malik,f2022-573@bnu.edu.pk,Software Engineering,6
F2022-578,Maha,Rafiq,f2022-578@bnu.edu.pk,Management Business Computing,6
F2022-588,Osama,Qureshi,f2022-588@bnu.edu.pk,Software Engineering,6
F2022-589,Saad,Saeed,f2022-589@bnu.edu.pk,Computer Science,6
F2022-592,Iqra,Aslam,f2022-592@bnu.edu.pk,Management Business Computing,6
F2022-597,Imran,Anwar,f2022-597@bnu.edu.pk,Management Business Computing,6
F2022-599,Sana,Khan,f2022-599@bnu.edu.pk,Software Engineering,6
F2022-601,Noman,Ali,f2022-601@bnu.edu.pk,Management Business Computing,6
F2022-603,Iqra,Javed,f2022-603@bnu.edu.pk,Software Engineering,6
F2022-606,Usman,Khan,f2022-606@bnu.edu.pk,Computer Science,6
F2022-610,Sana,Nawaz,f2022-610@bnu.edu.pk,Management Business Computing,6
F2022-612,Imran,Zahid,f2022-612@bnu.edu.pk,Software Engineering,6
F2022-615,Ali,Malik,f2022-615@bnu.edu.pk,Software Engineering,6
F2022-620,Laiba,Saeed,f2022-620@bnu.edu.pk,Software Engineering,6
F2022-630,Yasir,Anwar,f2022-630@bnu.edu.pk,Management Business Computing,6
F2022-631,Maha,Rafiq,f2022-631@bnu.edu.pk,Computer Science,6
F2022-640,Bilal,Khan,f2022-640@bnu.edu.pk,Management Business Computing,6
F2022-647,Maha,Rafiq,f2022-647@bnu.edu.pk,Software Engineering,6
F2022-649,Amina,Saeed,f2022-649@bnu.edu.pk,Computer Science,6
F2022-651,Fatima,Anwar,f2022-651@bnu.edu.pk,Software Engineering,6
F2022-658,Amina,Hussain,f2022-658@bnu.edu.pk,Management Business Computing,6
F2022-659,Laiba,Tariq,f2022-659@bnu.edu.pk,Management Business Computing,6
F2022-662,Sana,Saeed,f2022-662@bnu.edu.pk,Management Business Computing,6
F2022-665,Zara,Malik,f2022-665@bnu.edu.pk,Software Engineering,6
F2022-672,Bilal,Mirza,f2022-672@bnu.edu.pk,Management Business Computing,6
F2022-673,Emaan,Chaudhry,f2022-673@bnu.edu.pk,Software Engineering,6
F2022-687,Laiba,Mirza,f2022-687@bnu.edu.pk,Management Business Computing,6
F2022-689,Laiba,Mirza,f2022-689@bnu.edu.pk,Management Business Computing,6
F2022-695,Asma,Sheikh,f2022-695@bnu.edu.pk,Software Engineering,6
F2022-729,Noman,Aslam,f2022-729@bnu.edu.pk,Management Business Computing,6
F2022-730,Osama,Sheikh,f2022-730@bnu.edu.pk,Software Engineering,6
F2022-739,Saad,Sheikh,f2022-739@bnu.edu.pk,Computer Science,6
F2022-742,Hina,Khan,f2022-742@bnu.edu.pk,Management Business Computing,6
F2022-745,Rabia,Ali,f2022-745@bnu.edu.pk,Management Business Computing,6
F2022-748,Junaid,Qureshi,f2022-748@bnu.edu.pk,Computer Science,6
F2022-751,Iqra,Javed,f2022-751@bnu.edu.pk,Management Business Computing,6
F2022-764,Junaid,Malik,f2022-764@bnu.edu.pk,Software Engineering,6
F2022-765,Usman,Malik,f2022-765@bnu.edu.pk,Software Engineering,6
F2022-771,Rabia,Malik,f2022-771@bnu.edu.pk,Management Business Computing,6
F2022-773,Bilal,Farooq,f2022-773@bnu.edu.pk,Management Business Computing,6
F2022-778,Shahid,Chaudhry,f2022-778@bnu.edu.pk,Management Business Computing,6
F2022-779,Rabia,Chaudhry,f2022-779@bnu.edu.pk,Management Business Computing,6
F2022-781,Iqra,Aslam,f2022-781@bnu.edu.pk,Software Engineering,6
F2022-786,Hina,Hussain,f2022-786@bnu.edu.pk,Computer Science,6
F2022-791,Saad,Aslam,f2022-791@bnu.edu.pk,Management Business Computing,6
F2022-794,Junaid,Qureshi,f2022-794@bnu.edu.pk,Software Engineering,6
F2022-796,Hina,Mehmood,f2022-796@bnu.edu.pk,Management Business Computing,6
F2022-798,Fatima,Mehmood,f2022-798@bnu.edu.pk,Computer Science,6
F2022-806,Fatima,Chaudhry,f2022-806@bnu.edu.pk,Management Business Computing,6
F2022-808,Imran,Chaudhry,f2022-808@bnu.edu.pk,Management Business Computing,6
F2022-810,Iqra,Anwar,f2022-810@bnu.edu.pk,Software Engineering,6
F2022-811,Waqas,Mehmood,f2022-811@bnu.edu.pk,Computer Science,6
F2022-827,Osama,Javed,f2022-827@bnu.edu.pk,Software Engineering,6
F2022-829,Umair,Zahid,f2022-829@bnu.edu.pk,Computer Science,6
F2022-831,Laiba,Aslam,f2022-831@bnu.edu.pk,Software Engineering,6
F2022-832,Asma,Mirza,f2022-832@bnu.edu.pk,Computer Science,6
F2022-833,Saad,Mehmood,f2022-833@bnu.edu.pk,Computer Science,6
F2022-837,Kiran,Farooq,f2022-837@bnu.edu.pk,Computer Science,6
F2022-848,Kiran,Mehmood,f2022-848@bnu.edu.pk,Software Engineering,6
F2022-850,Emaan,Anwar,f2022-850@bnu.edu.pk,Management Business Computing,6
F2022-852,Bilal,Farooq,f2022-852@bnu.edu.pk,Management Business Computing,6
F2022-854,Saad,Aslam,f2022-854@bnu.edu.pk,Software Engineering,6
F2022-874,Asma,Aslam,f2022-874@bnu.edu.pk,Management Business Computing,6
F2022-876,Laiba,Javed,f2022-876@bnu.edu.pk,Software Engineering,6
F2022-880,Ahsan,Khan,f2022-880@bnu.edu.pk,Computer Science,6
F2022-881,Bilal,Javed,f2022-881@bnu.edu.pk,Management Business Computing,6
F2022-883,Laiba,Anwar,f2022-883@bnu.edu.pk,Software Engineering,6
F2022-885,Rabia,Mehmood,f2022-885@bnu.edu.pk,Management Business Computing,6
F2022-889,Iqra,Qureshi,f2022-889@bnu.edu.pk,Management Business Computing,6
F2022-895,Zara,Zahid,f2022-895@bnu.edu.pk,Computer Science,6
F2022-896,Ali,Rana,f2022-896@bnu.edu.pk,Software Engineering,6
F2022-898,Bilal,Sheikh,f2022-898@bnu.edu.pk,Software Engineering,6
F2022-905,Rabia,Anwar,f2022-905@bnu.edu.pk,Computer Science,6
F2022-906,Waqas,Rafiq,f2022-906@bnu.edu.pk,Software Engineering,6
F2022-907,Tariq,Chaudhry,f2022-907@bnu.edu.pk,Software Engineering,6
F2022-910,Kiran,Rafiq,f2022-910@bnu.edu.pk,Computer Science,6
F2022-928,Umair,Farooq,f2022-928@bnu.edu.pk,Management Business Computing,6
F2022-932,Bilal,Anwar,f2022-932@bnu.edu.pk,Software Engineering,6
F2022-936,Nadia,Saeed,f2022-936@bnu.edu.pk,Software Engineering,6
F2022-944,Hassan,Malik,f2022-944@bnu.edu.pk,Software Engineering,6
F2022-954,Ahsan,Mehmood,f2022-954@bnu.edu.pk,Computer Science,6
F2022-962,Rabia,Qureshi,f2022-962@bnu.edu.pk,Software Engineering,6
F2022-970,Bilal,Qureshi,f2022-970@bnu.edu.pk,Computer Science,6
F2022-972,Emaan,Aslam,f2022-972@bnu.edu.pk,Software Engineering,6
F2022-975,Amina,Farooq,f2022-975@bnu.edu.pk,Management Business Computing,6
F2022-977,Hassan,Mirza,f2022-977@bnu.edu.pk,Computer Science,6
F2022-989,Fatima,Malik,f2022-989@bnu.edu.pk,Software Engineering,6
F2022-991,Tariq,Nawaz,f2022-991@bnu.edu.pk,Management Business Computing,6
F2022-993,Iqra,Javed,f2022-993@bnu.edu.pk,Software Engineering,6
F2022-998,Yasir,Sheikh,f2022-998@bnu.edu.pk,Management Business Computing,6
F2022-999,Sana,Anwar,f2022-999@bnu.edu.pk,Software Engineering,6
F2023-007,Waqas,Ali,f2023-007@bnu.edu.pk,Software Engineering,4
F2023-017,Tariq,Chaudhry,f2023-017@bnu.edu.pk,Software Engineering,4
F2023-018,Kiran,Ahmed,f2023-018@bnu.edu.pk,Management Business Computing,4
F2023-020,Asma,Hussain,f2023-020@bnu.edu.pk,Software Engineering,4
F2023-023,Laiba,Malik,f2023-023@bnu.edu.pk,Software Engineering,4
F2023-027,Fatima,Aslam,f2023-027@bnu.edu.pk,Management Business Computing,4
F2023-033,Umair,Aslam,f2023-033@bnu.edu.pk,Management Business Computing,4
F2023-035,Saad,Ali,f2023-035@bnu.edu.pk,Computer Science,4
F2023-038,Amina,Rafiq,f2023-038@bnu.edu.pk,Software Engineering,4
F2023-041,Junaid,Zahid,f2023-041@bnu.edu.pk,Computer Science,4
F2023-044,Iqra,Rafiq,f2023-044@bnu.edu.pk,Management Business Computing,4
F2023-047,Nadia,Ali,f2023-047@bnu.edu.pk,Computer Science,4
F2023-053,Tariq,Hussain,f2023-053@bnu.edu.pk,Software Engineering,4
F2023-060,Laiba,Tariq,f2023-060@bnu.edu.pk,Management Business Computing,4
F2023-062,Laiba,Mirza,f2023-062@bnu.edu.pk,Management Business Computing,4
F2023-064,Shahid,Javed,f2023-064@bnu.edu.pk,Management Business Computing,4
F2023-069,Ali,Chaudhry,f2023-069@bnu.edu.pk,Computer Science,4
F2023-070,Bilal,Javed,f2023-070@bnu.edu.pk,Management Business Computing,4
F2023-076,Noman,Malik,f2023-076@bnu.edu.pk,Software Engineering,4
F2023-077,Hassan,Ali,f2023-077@bnu.edu.pk,Management Business Computing,4
F2023-079,Umair,Nawaz,f2023-079@bnu.edu.pk,Software Engineering,4
F2023-081,Hassan,Nawaz,f2023-081@bnu.edu.pk,Software Engineering,4
F2023-084,Ali,Ahmed,f2023-084@bnu.edu.pk,Computer Science,4
F2023-089,Nadia,Mehmood,f2023-089@bnu.edu.pk,Software Engineering,4
F2023-090,Zain,Rafiq,f2023-090@bnu.edu.pk,Management Business Computing,4
F2023-093,Maha,Ahmed,f2023-093@bnu.edu.pk,Software Engineering,4
F2023-095,Yasir,Mirza,f2023-095@bnu.edu.pk,Management Business Computing,4
F2023-096,Rabia,Sheikh,f2023-096@bnu.edu.pk,Management Business Computing,4
F2023-103,Fatima,Ali,f2023-103@bnu.edu.pk,Software Engineering,4
F2023-104,Fatima,Hussain,f2023-104@bnu.edu.pk,Management Business Computing,4
F2023-109,Nadia,Sheikh,f2023-109@bnu.edu.pk,Software Engineering,4
F2023-120,Yasir,Saeed,f2023-120@bnu.edu.pk,Management Business Computing,4
F2023-121,Zara,Sheikh,f2023-121@bnu.edu.pk,Software Engineering,4
F2023-125,Nadia,Javed,f2023-125@bnu.edu.pk,Computer Science,4
F2023-126,Fatima,Rafiq,f2023-126@bnu.edu.pk,Software Engineering,4
F2023-137,Tariq,Mehmood,f2023-137@bnu.edu.pk,Computer Science,4
F2023-138,Kiran,Sheikh,f2023-138@bnu.edu.pk,Software Engineering,4
F2023-141,Shahid,Khan,f2023-141@bnu.edu.pk,Computer Science,4
F2023-144,Zain,Saeed,f2023-144@bnu.edu.pk,Software Engineering,4
F2023-145,Laiba,Javed,f2023-145@bnu.edu.pk,Computer Science,4
F2023-148,Imran,Zahid,f2023-148@bnu.edu.pk,Software Engineering,4
F2023-152,Rabia,Nawaz,f2023-152@bnu.edu.pk,Management Business Computing,4
